@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute poverty numeric
@attribute population numeric
@attribute per_capita_income numeric
@attribute num_of_death numeric
@attribute num_of_birth numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
305,TX,19.51,343281,43470,3196,11680,cluster1
306,OK,24.1,21135,44313,131,388,cluster2
307,TN,25.8,39271,51557,335,2083,cluster2
308,KS,13.67,3834,38090,24,80,cluster4
309,VA,8.8,23557,77200,392,817,cluster5
310,PA,15.2,6461,39396,91,152,cluster4
311,FL,11.58,195823,63299,3731,7175,cluster8
312,TX,14.86,75115,51947,610,1442,cluster1
313,MN,10.58,9614,49920,205,203,cluster6
314,UT,13.4,19989,45244,218,323,cluster1
315,MS,28.73,32067,26722,488,1416,cluster3
316,UT,27.3,1524,36403,10,65,cluster3
317,LA,44.8,14927,42128,116,574,cluster0
318,TX,21.2,5871,34264,38,284,cluster7
319,KY,18.9,42269,36298,428,659,cluster7
320,TX,24.5,116483,57862,917,1756,cluster2
321,TN,13.6,21060,33230,453,1099,cluster4
322,UT,14.2,141666,46001,1998,2744,cluster1
323,MD,10.69,148203,52028,1579,3748,cluster6
324,CA,11.91,3055745,72046,61271,172457,cluster9
325,AZ,18.7,1020200,44293,21779,44471,cluster1
326,MD,8.4,1004709,94365,21490,40862,cluster5
327,PA,12.88,45875,41923,519,1022,cluster4
328,PA,14.3,23118,45810,191,931,cluster1
329,GA,14.3,14402,46292,241,253,cluster1
330,VA,18.1,31738,35437,722,917,cluster7
331,MI,16.05,24709,39347,139,387,cluster7
332,CO,8.7,9734,43361,90,154,cluster6
333,NM,13.5,21016,38623,504,856,cluster4
334,TX,14.74,33958,39985,658,1289,cluster4
335,LA,17.8,21054,45829,189,315,cluster1
336,WI,9.4,44072,47214,381,1777,cluster6
337,LA,21.2,58723,45419,433,1664,cluster2
338,IL,14.8,712567,74594,4045,12852,cluster5
339,KY,14.7,18396,31733,168,455,cluster4
340,KY,18,9423,39724,149,162,cluster7
341,VA,13.9,33078,50101,536,1360,cluster1
342,CA,8.81,255031,78470,2867,5596,cluster5
343,LA,11.2,104822,62069,623,1735,cluster8
344,MO,19.2,24832,34840,405,877,cluster7
345,GA,16.1,17881,46445,277,406,cluster1
346,ND,12.6,8310,52457,79,325,cluster6
347,LA,16.3,73999,42555,1759,3121,cluster1
348,NC,20.2,36853,39655,488,1774,cluster7
349,LA,23.74,14335,30750,208,599,cluster3
350,IN,8,39065,38859,812,1417,cluster4
351,ID,15.81,83691,41749,1762,2145,cluster1
352,ID,15.4,6914,49208,70,110,cluster1
353,MS,17.97,17822,39113,287,356,cluster7
354,IA,8.9,24479,60034,566,552,cluster8
355,IA,14.6,7346,44225,132,295,cluster1
356,WI,16,88415,51602,1930,4627,cluster1
357,KS,9.8,34852,49624,513,540,cluster6
358,IA,10.1,11757,54695,112,257,cluster6
359,VA,8.07,15332,71976,161,240,cluster8
360,MT,10.1,81723,42192,1913,1510,cluster4
361,MO,18.8,6546,37056,128,315,cluster7
362,MO,19.7,8821,38877,86,401,cluster7
363,VA,9.67,7444,59277,64,418,cluster8
364,MO,14.6,31826,29976,285,1628,cluster4
365,MT,19.4,8786,51830,125,350,cluster2
366,WI,5.99,390730,73025,9238,9693,cluster5
367,ID,28.4,4221,44425,42,72,cluster3
368,MT,18.15,1251,34607,12,59,cluster7
369,ND,9.91,2372,45283,52,80,cluster6
370,KY,19.9,10821,28516,258,253,cluster7
371,LA,12.39,109985,63305,644,2271,cluster8
372,NM,25.4,4241,28402,39,94,cluster3
373,OK,20.4,4783,45763,48,79,cluster2
374,ND,8.3,3951,49830,80,145,cluster6
375,NC,20.8,154339,42080,3026,2764,cluster7
376,VT,17,43471,43045,477,1158,cluster1
377,CA,10.81,831771,74019,20482,44290,cluster5
378,IL,12.3,132466,50737,2759,6819,cluster6
379,VA,19.1,29251,38533,668,1372,cluster7
380,OK,12.4,48150,35482,1185,1569,cluster4
381,KS,7.84,6113,59278,53,188,cluster8
382,TX,22.24,17944,33125,314,837,cluster3
383,IN,11.4,28161,46023,701,1481,cluster6
384,TX,7.79,686406,70243,15678,32981,cluster8
385,NH,11.6,299276,73402,2077,5888,cluster8
386,MT,15.62,1159,35144,14,38,cluster7
387,NE,9,3576,40455,79,173,cluster4
388,MO,16.09,32263,37302,658,1282,cluster7
389,FL,17.5,266502,39378,2745,4245,cluster7
390,KY,16.18,9527,38984,176,441,cluster7
391,MD,15.9,32640,41936,250,1129,cluster1
392,WA,18.5,11187,53669,180,358,cluster1
393,MN,9.7,4374,43980,93,111,cluster6
394,OK,11.6,40783,36925,857,1244,cluster4
395,VA,28.4,24500,75861,521,649,cluster2
396,GA,27,4990,39105,90,233,cluster3
397,ND,8.7,3967,62424,79,92,cluster8
398,NY,13.2,194630,43920,3680,7857,cluster1
399,OK,17.36,16049,35610,198,868,cluster7
400,NC,20.8,81930,35127,941,4269,cluster7
401,PA,13.82,43222,40338,821,1505,cluster4
402,SC,25.83,15975,28467,173,742,cluster3
403,GA,18.79,13885,43618,214,710,cluster1
404,SC,26.7,19094,39570,198,464,cluster3
405,GA,29.16,8148,25807,147,211,cluster3
406,TX,18.86,9548,37167,83,189,cluster7
407,NC,18,49272,42908,376,1053,cluster1
408,ND,10.6,1643,55742,40,59,cluster6
409,AZ,17.4,37416,41080,688,1788,cluster7
410,OH,7.7,52764,64403,1028,2050,cluster8
411,MS,28.1,48175,37578,507,733,cluster3
412,OR,16.2,319985,45631,6890,6232,cluster1
413,VA,11.4,217483,93231,4985,4082,cluster5
414,WI,12.3,44040,46872,989,1888,cluster6
415,SD,9.54,3376,57519,29,103,cluster8
416,OH,12.01,52809,42065,838,1529,cluster4
417,KS,12.5,6454,41382,37,105,cluster4
418,GA,36.3,46337,36091,670,2575,cluster0
419,WI,14.9,13869,41344,234,462,cluster1
420,TX,14.2,22058,29225,525,610,cluster4
421,IA,10.4,13723,44906,280,375,cluster6
422,NE,10.77,3417,44467,71,82,cluster6
