@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute obesity_rate numeric
@attribute diabetes_rate numeric
@attribute excercise_rate numeric
@attribute no_of_hospitals numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
404,SC,37,12,5,0,cluster2
405,GA,41,13,0,0,cluster6
406,TX,36,10,0,3,cluster3
407,NC,38,11,2,0,cluster1
408,ND,34,9,60,0,cluster4
409,AZ,36,11,8,3,cluster2
410,OH,40,9,8,3,cluster3
411,MS,40,13,19,3,cluster0
412,OR,34,9,11,9,cluster3
413,VA,24,6,15,3,cluster9
414,WI,34,8,2,9,cluster8
415,SD,37,8,0,0,cluster8
416,OH,38,11,10,3,cluster1
417,KS,40,11,0,3,cluster1
418,GA,39,12,9,3,cluster6
419,WI,38,11,0,3,cluster1
420,TX,38,9,0,0,cluster3
421,IA,42,9,14,3,cluster1
422,NE,33,9,0,3,cluster3
423,LA,38,11,3,6,cluster1
424,SD,33,9,0,0,cluster3
425,KY,41,14,0,0,cluster0
426,LA,35,10,9,0,cluster3
427,FL,30,10,8,6,cluster5
428,IL,32,7,14,6,cluster8
429,MI,41,11,2,9,cluster1
430,VA,36,8,19,0,cluster8
431,WV,35,12,11,6,cluster2
432,SD,33,8,16,3,cluster8
433,SD,35,11,0,3,cluster2
434,WI,33,9,18,9,cluster5
435,TX,36,12,0,3,cluster2
436,VA,37,13,11,0,cluster0
437,IL,33,9,5,3,cluster3
438,NC,27,10,7,3,cluster5
439,GA,38,11,0,3,cluster1
440,GA,38,14,9,3,cluster0
441,ID,26,9,17,3,cluster5
442,KY,40,15,5,6,cluster7
443,WY,25,7,18,6,cluster9
444,MD,29,10,21,3,cluster5
445,VA,39,12,20,0,cluster6
446,NC,31,10,21,3,cluster5
447,AR,34,11,10,3,cluster2
448,MS,44,13,3,3,cluster6
449,TN,37,11,5,0,cluster1
450,OK,38,13,0,3,cluster0
451,WA,32,9,10,6,cluster5
452,TX,35,11,0,3,cluster2
453,VA,37,10,14,3,cluster3
454,IN,40,11,10,3,cluster1
455,LA,43,15,6,0,cluster7
456,VA,34,13,9,3,cluster0
457,MI,34,11,34,3,cluster4
458,TX,35,9,0,3,cluster3
459,PA,30,10,16,48,cluster5
460,NC,34,8,5,3,cluster8
461,LA,43,14,0,0,cluster7
462,IA,36,9,13,3,cluster3
463,NJ,27,9,10,6,cluster5
464,AR,42,13,0,0,cluster6
465,TX,38,11,0,0,cluster1
466,NE,34,9,11,3,cluster3
467,MA,23,8,19,36,cluster9
468,AR,35,10,10,6,cluster3
469,MI,39,10,7,3,cluster1
470,PA,38,10,7,3,cluster1
471,CO,26,5,13,0,cluster9
472,VA,41,12,12,3,cluster6
473,GA,41,12,0,0,cluster6
474,GA,36,11,5,3,cluster2
475,IL,39,11,0,0,cluster1
476,MT,34,10,19,6,cluster3
477,MO,40,11,0,0,cluster1
478,GA,39,10,6,3,cluster1
479,CA,23,7,14,21,cluster9
480,MI,36,10,6,3,cluster3
481,VA,36,12,5,3,cluster2
482,TX,40,9,7,3,cluster3
483,WA,31,10,12,9,cluster5
484,WI,32,11,16,0,cluster2
485,AL,40,12,8,3,cluster6
486,GA,39,11,8,3,cluster1
487,MI,43,11,12,3,cluster1
488,WA,27,9,14,3,cluster5
489,TX,39,12,0,3,cluster6
490,LA,41,13,4,3,cluster6
491,SD,36,10,0,0,cluster3
492,KY,40,10,4,3,cluster1
493,MO,39,10,6,3,cluster1
494,MT,30,8,10,6,cluster5
495,KS,35,11,0,3,cluster2
496,ME,29,10,10,3,cluster5
497,NC,37,10,4,3,cluster3
498,MT,32,9,0,3,cluster3
499,MO,32,9,8,6,cluster5
500,IL,34,11,14,15,cluster2
501,VA,36,13,0,3,cluster0
502,WA,31,8,10,3,cluster8
503,VA,41,14,0,0,cluster0
504,LA,39,12,9,12,cluster6
505,MN,31,8,18,15,cluster5
506,SC,36,13,7,6,cluster0
507,TX,38,10,0,0,cluster1
508,KS,36,10,0,3,cluster3
509,WI,34,9,6,3,cluster3
510,MN,37,10,0,3,cluster3
511,OK,40,11,10,6,cluster1
512,NC,37,12,9,3,cluster2
513,IA,31,10,16,3,cluster5
514,IA,31,9,8,9,cluster5
515,IN,39,11,0,3,cluster1
516,WA,31,9,9,6,cluster5
517,FL,40,11,0,0,cluster1
518,AL,40,11,4,3,cluster1
519,WV,34,13,12,12,cluster0
520,VA,39,14,11,3,cluster0
521,TX,37,10,0,3,cluster3
522,IN,36,10,9,3,cluster3
523,HI,25,9,9,9,cluster5
524,PA,38,11,18,0,cluster1
525,NC,35,10,5,3,cluster3
526,NY,30,9,4,3,cluster5
527,IL,33,9,12,3,cluster3
528,AK,38,6,6,3,cluster8
529,NV,37,8,11,3,cluster8
530,MI,45,12,15,0,cluster6
531,FL,37,11,0,0,cluster1
532,MI,40,10,19,3,cluster1
533,KS,41,11,0,3,cluster1
534,WI,39,9,13,0,cluster3
535,TX,38,11,13,3,cluster1
536,KY,39,13,0,3,cluster0
537,IN,36,11,12,3,cluster2
538,MO,36,11,0,0,cluster2
539,MI,36,11,4,6,cluster2
540,TX,37,11,11,3,cluster1
541,NC,40,14,7,3,cluster0
542,NC,33,10,17,3,cluster3
