@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute African_American numeric
@attribute American_Alaskan_Native numeric
@attribute asian numeric
@attribute hispanic numeric
@attribute pacific_highlander numeric
@attribute 18_younger numeric
@attribute senior_citizen numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14}

@data
1054,GA,37.02,0.34,3.17,6,0.08,27.66,9.37,cluster5
1055,NE,0.14,0.31,0.11,1.37,0.01,25.07,20.16,cluster7
1056,MT,0.5,1.9,0.3,3.7,0,20.3,17.1,cluster7
1057,AL,11.4,0.3,0.3,5.4,0,24.5,13.4,cluster1
1058,KY,1.7,0.5,0.1,1.3,0,22.9,18.1,cluster7
1059,OH,0.5,0.3,0.2,0.7,0,25.5,13.2,cluster1
1060,VA,41.69,0.6,3.44,6.89,0.2,20.88,9.41,cluster5
1061,MO,0.56,0.74,0.59,1.69,0.06,24.59,16.87,cluster1
1062,AR,25,0.2,0.4,1.5,0,24.3,16.3,cluster12
1063,OR,1.2,3.6,1,19.8,0.2,26.5,12.7,cluster10
1064,TX,0.5,0.95,0.56,23.94,0.11,20.06,23.29,cluster13
1065,GA,30.55,0.39,1.41,10.25,0.05,24.76,13.1,cluster5
1066,TN,0.13,0.26,0.23,0.61,0,24.96,14.71,cluster1
1067,SC,49.35,0.29,0.68,2.66,0.01,21.34,18.4,cluster5
1068,TX,0.22,0.77,0.3,60.09,0,25.98,14.55,cluster2
1069,IA,0.25,0.33,0.3,6.53,0.08,22.38,20.14,cluster3
1070,TX,4,0.4,0.4,77.1,0,28,12.3,cluster6
1071,GA,29.56,0.42,0.94,12.68,0.31,25.5,14.03,cluster12
1072,KY,1.3,0.3,0.3,1.3,0,23.4,10.4,cluster1
1073,MS,11.76,0.3,0.39,2.81,0.03,24.17,16.18,cluster1
1074,GA,24.84,0.26,0.72,1.26,0.01,25.36,13.03,cluster12
1075,KS,0.24,0.64,0.32,14.47,0,20.83,20.75,cluster3
1076,ND,0.55,1.69,0.22,1.04,0,21.8,16.28,cluster7
1077,WY,0.41,1.39,0.55,7.67,0.06,27.83,6.25,cluster10
1078,GA,23.75,0.38,0.94,2.22,0.02,22.1,14.29,cluster12
1079,KS,0.26,0.11,0.41,1.67,0.04,24.07,23.6,cluster3
1080,AL,34.5,0.7,2,2,0.1,25.9,12.5,cluster5
1081,TX,4.05,0.89,0.43,15.04,0.11,21.99,15.1,cluster13
1082,MT,0.22,14.13,0.27,1.66,0,24.61,19.59,cluster11
1083,GA,2.3,0.8,0.5,4.4,0.1,22.4,12.2,cluster1
1084,OH,1.27,0.09,0.62,1.14,0.01,24.55,16.9,cluster1
1085,LA,49.3,0.2,0.3,1.3,0,23.1,12.3,cluster0
1086,LA,42,0.2,0.3,1.4,0,27.6,13.9,cluster5
1087,NE,0.26,0.5,0.36,4.34,0.05,24.24,18.26,cluster7
1088,MO,0.7,3,0.9,14.4,0.2,28.2,11.8,cluster10
1089,IL,0.36,0.23,0.5,2.71,0.02,21.3,20.38,cluster3
1090,AR,36.39,0.38,0.78,2.37,0.03,22.29,16.23,cluster5
1091,CO,0.8,1.1,0.7,15.6,0,26.5,9.4,cluster10
1092,SD,0.07,0.43,0.43,1.06,0,17.26,25.64,cluster14
1093,ME,0.3,0.3,0.5,0.8,0,19,20,cluster3
1094,NC,37.58,0.9,0.92,6.38,0.04,23.09,15.03,cluster5
1095,OK,0.5,1.49,0.2,20.39,0.02,24.66,16.58,cluster13
1096,HI,0.7,0.5,32,10.4,9.3,22.7,14.9,cluster8
1097,SD,0.62,13.85,1.08,1.95,0,25.82,15.26,cluster11
1098,OR,0.47,1.49,1.07,7.99,0.16,23.8,15.63,cluster1
1099,MS,52.75,0.13,0.13,0.86,0.06,23.7,17.31,cluster0
1100,TX,6.84,1.1,0.33,34.08,0.06,25.85,22.74,cluster13
1101,VA,9.9,0.4,0.7,2.7,0.1,22.2,13.7,cluster1
1102,IL,8.4,0.29,0.72,2.2,0.02,22.08,16.18,cluster7
1103,NE,0.1,0.9,0.7,6,0.1,22,21.8,cluster3
1104,NJ,39.27,0.68,4.91,20.85,0.13,24.63,11.69,cluster5
1105,WI,0.4,0.3,0.2,1.8,0,22.8,15.9,cluster7
1106,IL,0.51,0.63,0.51,1.45,0.12,20.58,21.12,cluster3
1107,IN,0.65,0.37,0.56,3,0.04,22.2,15.39,cluster7
1108,NV,5.2,16.4,1.3,11.5,0.1,19.2,23.1,cluster14
1109,TX,4.1,0.9,1.2,11.7,0.1,22.7,23,cluster3
1110,CO,0.53,1.11,0.72,4.95,0.02,18.11,12.85,cluster4
1111,MO,1.04,3.03,1.09,11.47,1.28,27.63,13.14,cluster10
1112,MT,0.1,1.48,0.16,1.36,0.02,22.71,21.33,cluster3
1113,MO,2.58,0.36,0.36,1.16,0.02,21.33,18.81,cluster7
1114,SC,41.34,0.41,1.28,2.28,0.02,24.32,14.04,cluster5
1115,TX,0.74,2.64,1.27,48.52,0,20.5,22.14,cluster2
1116,IN,1.42,0.15,0.37,1,0,23.55,17.06,cluster7
1117,MI,0.8,0.6,0.3,1.4,0.4,24.3,17,cluster1
1118,TX,7.2,1.2,0.4,48.7,0.1,29.8,15.3,cluster2
1119,OH,0.4,0.3,0.5,1.6,0,26.4,14.7,cluster1
1120,WI,0.7,2.1,0.9,1.1,0,20.9,15,cluster7
1121,GA,31.82,0.46,0.6,3.43,0.03,19.62,12.36,cluster5
1122,NV,0.63,4.73,0.86,24.7,0.2,27.02,10.3,cluster10
1123,TX,4.37,1.36,0.63,49.14,0.06,27.44,14.75,cluster2
1124,MI,5.38,0.97,0.73,3.08,0.02,23.07,16.03,cluster7
1125,TX,13.41,1.66,0.67,7.02,0.03,24.07,17.03,cluster12
1126,TN,6.6,0.35,1.1,4.04,0.09,24.87,13.04,cluster1
1127,TN,26.2,0.2,1.1,2.2,0,23.2,13.5,cluster12
1128,MI,1.22,1.21,0.74,2.35,0.05,21.45,15.84,cluster7
1129,FL,30.22,0.31,3.04,5.74,0.06,18.64,10.27,cluster5
1130,GA,47.54,0.5,0.61,4.4,0.05,24.41,13.92,cluster5
1131,WV,2.3,0.12,0.29,1.07,0.03,19.81,19.29,cluster3
1132,ID,0.9,1.5,0.6,31,0,31,14.4,cluster2
1133,AK,0.7,7.8,1.2,3.1,0.2,23.8,11,cluster1
1134,NE,0,0.4,0,5.2,0,22.8,22.7,cluster3
1135,IL,8.8,0.2,0.6,1.7,0,21.8,16.3,cluster7
1136,MO,0.86,0.29,0.22,1.62,0.01,24.12,19.29,cluster7
1137,TN,2.2,0.4,0.1,1.4,0.1,22.3,18.5,cluster7
1138,WY,0.33,1.32,0.36,8.86,0.02,25.47,18.16,cluster1
1139,MA,2.6,0.3,3.7,4.6,0.1,17.1,12.8,cluster4
1140,MN,0.4,0.4,0.5,5.2,0,24.7,14.5,cluster1
1141,SC,67.2,0.3,0.3,1.2,0,22.8,14.8,cluster0
1142,LA,20.8,0.5,1.6,5.2,0.1,25.7,12,cluster12
1143,CA,9.86,1.57,15.02,21.98,1.13,25.22,11.46,cluster8
1144,MO,0.6,0.58,0.29,1.57,0.05,25.5,17.86,cluster1
1145,NC,4.21,0.34,0.42,5.61,0.05,22.04,17.51,cluster7
1146,OK,11.7,5.2,2.1,10.5,0.1,26,12.1,cluster10
1147,WI,0.4,0.2,0.2,1.7,0,24.4,15.7,cluster1
1148,IN,5.1,0.2,0.6,2.3,0,22.9,17,cluster7
1149,IL,0.58,0.37,0.24,1.45,0.01,22.52,19.99,cluster3
1150,OH,15.32,0.24,0.77,4.8,0.03,21.23,17.84,cluster12
1151,TX,14.6,0.6,0.6,19.5,0.1,26.1,14.5,cluster13
1152,IN,1.1,0.2,0.5,3.9,0,23.9,15.7,cluster1
1153,MS,27.61,0.22,0.69,2.55,0.03,26.46,13.11,cluster12
1154,CO,7.37,2.97,1.05,30.85,0.08,16.94,15.71,cluster13
1155,MO,1.9,0.3,0.1,1.1,0,23.5,18.6,cluster7
1156,KS,4.5,2.4,3.6,4,0.1,17.9,9.7,cluster4
1157,MO,15.73,0.25,0.46,1.3,0.04,23.4,16.8,cluster12
1158,IN,1.6,0.2,1.5,2.1,0,27.6,11.6,cluster1
1159,NJ,2.67,0.19,3.45,5.55,0.04,22.72,13.35,cluster4
1160,LA,41.8,0.3,0.2,1.6,0,23.2,18,cluster5
1161,IL,0.39,0.33,0.35,1.31,0.01,22.78,18.68,cluster7
1162,FL,8.91,0.42,1.3,11.62,0.05,18.57,27.58,cluster14
1163,IL,0.44,0.21,0.45,6.44,0.02,25.58,15.98,cluster1
1164,WI,0.56,0.41,2.81,2.75,0.02,20.15,13.66,cluster4
1165,OK,2.95,9.52,0.31,8.31,0.02,25.43,17.99,cluster1
1166,NY,0.7,0.3,0.2,1.4,0.1,16.8,21.7,cluster3
1167,CA,0.8,1.78,1.37,10.61,0.19,18.58,23.3,cluster14
1168,AR,1.46,1.86,3.11,15.67,0.39,27.49,12.58,cluster10
1169,MI,2.49,0.56,0.72,6.77,0.01,25.29,15.68,cluster1
1170,WI,0.7,0.5,0.3,2.2,0.1,20.4,20.7,cluster3
1171,MO,0.6,1,0.4,1.7,0,24.6,18.2,cluster7
1172,GA,45.1,0.3,0.5,5.6,0,23,11.6,cluster5
1173,SD,0.22,0.4,0.28,2.56,0.02,30.04,17.5,cluster1
1174,KY,0.5,0.1,0.4,0.9,0,22.5,12.8,cluster1
1175,IA,0.4,0.25,0.45,2.03,0.01,22.81,18.01,cluster7
1176,TX,5.37,0.75,0.34,20.82,0,24.25,19.67,cluster13
1177,TX,1.13,2.75,0.55,60.43,0.17,31.39,14.02,cluster6
1178,TN,4.8,0.5,0.1,1.2,0,23.1,14.4,cluster1
1179,AL,22.71,0.35,2.78,3.46,0.1,21.66,9.66,cluster12
1180,TN,2.1,0.2,0.6,1.6,0,24.4,14.9,cluster1
1181,MS,73.23,0.19,0.69,2.14,0.09,30.16,9.97,cluster0
1182,AR,33.4,0.3,0.9,2.3,0,24.4,16,cluster5
1183,NJ,9.2,0.2,13.1,12.7,0.1,24.7,12.3,cluster8
1184,WV,0.87,0.23,0.42,0.92,0.01,20.66,16.11,cluster7
1185,MN,0.49,0.3,0.67,5.04,0.05,24.77,16.43,cluster1
1186,KS,0.64,1.09,0.16,8.46,0.03,22.37,23.46,cluster3
1187,PA,0.26,0.4,0.26,0.54,0,17.82,22.49,cluster3
1188,ND,0,1.07,0.15,1.15,0.31,15.74,30.56,cluster14
1189,TX,1,0.8,0.6,24.6,0,23.9,20.6,cluster13
1190,WV,1.3,0.1,0.5,0.6,0,19.5,19.4,cluster3
1191,RI,1.2,0.2,1.6,1.8,0,20,17.1,cluster7
1192,MN,0.54,0.18,0.47,0.74,0.01,22.04,18.55,cluster7
1193,WV,0.73,0.16,0.36,0.5,0.04,21.35,18.08,cluster7
1194,SC,14.1,0.4,1.1,5,0.1,20.6,18,cluster12
1195,IA,0.23,0.06,0.24,1.08,0.06,23.89,18.67,cluster7
1196,MI,14.8,0.5,1.7,4.2,0.1,23.9,15.8,cluster12
1197,UT,0.35,1.21,0.43,3.55,0.09,24.13,18.69,cluster7
1198,KS,4.8,0.57,0.43,5.23,0,18.45,19.07,cluster3
1199,AK,0.3,10.9,0.7,1.4,0.1,19.4,12.8,cluster4
1200,WV,3.9,0.2,2.3,1.7,0,16.6,10.7,cluster4
1201,MN,1.8,0.3,1.6,2.9,0,21.6,12.8,cluster4
1202,VA,18.6,0.3,0.1,1,0,15.9,25.7,cluster14
1203,IL,4.96,0.3,0.8,5.16,0.03,20.73,16.73,cluster7
1204,TX,3.23,0.92,0.82,12.1,0,34.67,12.3,cluster10
1205,VA,29.27,0.38,6.8,5.06,0.05,23.84,12.63,cluster12
1206,IN,12.3,0.4,1.8,6.5,0.1,24.8,13.2,cluster12
1207,NC,53.7,3.5,0.7,1.4,0,23.6,16.2,cluster0
1208,LA,60.29,0.22,0.27,1.74,0.01,24.82,12.21,cluster0
1209,OH,0.7,0.3,0.5,7.1,0,25.3,14,cluster1
1210,NE,0.31,1.87,0.25,2.52,0.09,22.3,23.26,cluster3
1211,MN,0.42,0.18,0.3,1.75,0.1,21.32,21.89,cluster3
1212,AR,50.55,0.36,0.67,2.13,0.05,28.53,11.14,cluster0
1213,AR,12.44,0.33,0.1,1,0.03,21.08,20.88,cluster3
1214,AL,43.24,0.15,0.15,0.63,0,22.07,19.04,cluster5
1215,MO,6.67,0.45,0.55,2.69,0.04,24.8,15.96,cluster1
1216,ND,0.4,2,0.6,4.5,0,20.6,19.8,cluster3
1217,VA,28.96,0.79,0.75,3.54,0.09,23.54,13.7,cluster5
1218,IN,0.37,0.2,0.89,1.73,0.03,24.76,14.91,cluster1
1219,AR,11.6,0.6,0.3,3.6,0,24.5,15.5,cluster1
1220,MN,2.44,0.41,1.92,11.05,0.16,25.38,17.02,cluster1
1221,GA,2,0.3,0.5,3.2,0,23.4,12.9,cluster1
1222,AK,1.1,12.8,5.8,5.1,0.4,22.8,8.1,cluster4
1223,OH,5.74,0.23,0.55,2.27,0.06,21.76,14.5,cluster7
1224,WA,0.36,16.45,1.05,3.68,0.1,19.59,19.22,cluster11
1225,UT,1.48,1.27,3.52,17.35,1.61,28.83,9.08,cluster10
1226,MI,0.38,2.65,0.34,1.28,0.03,19.92,20.4,cluster3
1227,IA,1.14,0.36,1.14,1.85,0.01,24.07,16.15,cluster1
1228,ND,0.1,2.9,0.3,0.8,0.4,21.5,15.9,cluster7
1229,OR,1.5,1.3,1.9,28.4,0.2,25.6,15.2,cluster13
1230,OK,4.36,4.96,4.01,7.24,0.1,22.53,10.53,cluster4
1231,MO,0.9,0.5,0.4,1.8,0.1,25,16.2,cluster1
1232,AR,22.16,0.45,0.21,3.11,0.02,19.52,16.19,cluster12
1233,TN,1.7,0.2,0.4,1.1,0,21.8,16.1,cluster7
1234,TX,0.59,1.08,0.43,9.04,0,24.51,17.38,cluster1
1235,MO,21.9,0.3,3.3,2.4,0.1,23.5,14.6,cluster12
1236,LA,5.36,0.42,0.53,3.04,0.03,26.9,10.89,cluster1
1237,OK,2.91,2.72,1.11,9.4,1.74,24.92,15.33,cluster1
1238,KS,2,0.9,0.6,3.1,0,26.4,12.8,cluster1
1239,SD,0.27,1.53,0.2,0.83,0,21.23,22.39,cluster3
1240,GA,14.42,0.78,1.38,9.71,0.29,23.98,14.46,cluster12
1241,SD,0.09,0.29,0.32,0.58,0.03,20.63,24.8,cluster3
1242,CO,0.48,1.76,0.77,28.34,0.14,26.69,9.49,cluster2
1243,OH,2.65,0.39,0.48,0.98,0.01,23.53,16.19,cluster7
1244,AK,0.1,38.8,1.9,1.2,0.9,23.8,9.3,cluster11
1245,AK,0.51,9.47,0.74,2.07,0,19,15.32,cluster7
1246,TX,8.34,1.22,1.12,14.47,0.22,24.85,14.13,cluster13
1247,MN,0.34,2.49,0.17,1.03,0.02,17.4,28.53,cluster14
1248,MO,0.6,0.9,0.3,5.8,0.1,26.5,15.9,cluster1
1249,FL,8.1,0.4,1.4,17.4,0.1,20.4,22.7,cluster13
1250,IL,4.76,0.42,10.4,13.63,0.05,24.41,11.92,cluster10
1251,UT,0.8,0.7,2.1,9.4,0.2,30.8,7.7,cluster10
1252,CA,8.61,4.15,1.26,17.89,0.53,17.26,10.95,cluster4
1253,PA,0.86,0.24,0.5,1.17,0.02,20.3,18.18,cluster7
1254,ME,0.39,0.39,0.65,1.05,0.03,20.64,18.1,cluster7
1255,CO,0.59,1.51,0.87,13.47,0.13,23.07,15.79,cluster13
1256,MI,2.55,0.52,0.4,3.13,0.04,23.61,14.46,cluster1
1257,AL,36.55,0.62,1.84,2.37,0.12,20,13.08,cluster5
1258,VA,6.87,0.31,1.83,2.59,0.03,19.86,16.82,cluster7
1259,KS,1.8,0.6,0.3,2.3,0,26.4,11.3,cluster1
1260,VA,16.8,0.3,1.7,8,0,25.9,11.7,cluster12
1261,MN,2.76,0.32,0.87,6.5,0.03,26.15,14.6,cluster1
1262,MN,0.54,0.93,0.56,5.21,0.84,22.77,19.72,cluster7
1263,NY,3.74,0.37,1.16,2.59,0.03,18.84,13.64,cluster4
1264,NE,0,1.2,0,1.07,0,21.46,27.24,cluster14
1265,TN,5.28,0.4,0.79,2.59,0.07,21.46,17.63,cluster7
1266,NY,6.1,0.3,0.6,3.4,0,20.6,13.4,cluster4
1267,OK,15.19,4.1,3.1,15.53,0.16,25.41,12.16,cluster12
1268,IA,0.58,0.39,1.74,16.25,0.09,24.53,15.61,cluster13
1269,SD,0.78,1.06,2.83,2.04,0.07,18.68,10.08,cluster4
1270,NY,3.3,0.2,2.2,11.1,0,23.7,11.9,cluster1
1271,ND,0.15,1.44,0.1,1.38,0,20.87,21.9,cluster3
1272,FL,8.1,0.4,0.9,3,0,22.5,15.8,cluster7
1273,OK,4.28,4.93,4.03,7.26,0.1,22.5,11.03,cluster4
1274,VA,23.4,0.2,0.3,2.2,0,21.4,14.7,cluster12
1275,TX,4.25,0.22,0.45,15.59,0,20.51,24.09,cluster14
1276,GA,36.08,0.48,1.57,5.05,0.15,23.67,10.08,cluster5
1277,KS,1.98,0.98,0.56,2.99,0.02,23.54,18.17,cluster7
1278,KY,5.3,0.2,1,2.8,0,26.4,9.2,cluster10
1279,IN,11.7,0.46,2.82,6.68,0.1,26.74,12,cluster10
1280,SC,29.26,0.45,1.46,5.39,0.11,20.7,13.04,cluster5
1281,KY,1.4,0.2,0.1,1.3,0,23.7,14.2,cluster1
1282,IL,0.3,0.2,0.2,1.6,0,24,20.3,cluster7
1283,AR,23.49,0.7,0.64,4.35,0.03,19.13,15.12,cluster12
1284,TX,34.7,0.5,2.8,15.2,0.1,24.7,13,cluster5
1285,CA,1.3,1.3,4.2,30.2,0.2,21.8,11.1,cluster13
1286,NE,0.33,0.16,0,2.61,0,21.39,23.43,cluster3
1287,UT,0.44,2.38,1.01,7.83,0.35,29.6,10.58,cluster10
1288,IN,0.34,0.26,0.22,1.43,0.06,24.88,15.69,cluster1
1289,NC,31.8,0.6,3.5,6.5,0.1,23.8,12.4,cluster5
1290,CA,2.77,2.71,6.87,56.06,0.59,26.81,10.83,cluster2
1291,MN,1.92,0.53,1.33,2.22,0.03,28.53,8.63,cluster10
1292,SD,0.08,1.55,0.08,1.62,0,22.72,15.2,cluster7
1293,AL,10,0.5,0.6,3.3,0,23.1,17,cluster7
1294,MO,0.41,0.19,0.27,1.07,0.02,24.53,20.19,cluster7
1295,UT,0.26,1.02,0.73,4.38,0.15,29.12,15.93,cluster1
1296,IL,3.34,0.17,0.42,1.58,0.04,20.87,17.42,cluster7
1297,KS,0.4,0.4,0.5,1.1,0,21.9,21.9,cluster3
1298,OH,0.81,0.19,0.33,4.41,0.02,19.89,20.58,cluster3
1299,NE,0,0.96,0,1.23,0,21.54,24.83,cluster3
1300,UT,0.33,1.47,0.4,7.75,0.2,28.99,22.11,cluster1
1301,VA,34,0.2,0.6,2.4,0,22.1,16.3,cluster5
1302,GA,32.82,0.15,0.58,2.87,0.01,22.97,19.53,cluster5
1303,KY,10.7,0.3,0.1,1.4,0,20.7,19.2,cluster7
1304,GA,36,0.3,1.6,6.6,0,29.6,7.6,cluster5
1305,IL,5.7,0.4,3.3,28.5,0.1,29.6,9.1,cluster10
1306,NC,22.1,0.9,1.1,9.1,0.1,27,9.4,cluster12
1307,KY,1.06,0.23,0.24,0.93,0.04,24.22,16.06,cluster1
1308,IL,0.15,0.17,0.25,0.91,0,22.9,18.44,cluster7
1309,GA,7.3,1,0.2,31.9,0,24.6,6.8,cluster2
1310,IL,1.16,0.34,0.77,8.46,0.05,26.63,11.88,cluster1
1311,VA,45.35,0.39,0.35,1.28,0.03,19.77,17.65,cluster5
1312,TN,2.3,0.3,0.4,2.8,0,21.9,15.6,cluster7
1313,FL,23,0.7,0.4,4.3,0,19.5,9.7,cluster12
1314,FL,5.71,0.93,1.97,4.58,0.16,23.44,13.16,cluster1
1315,MT,0.3,1.59,0.62,3.89,0.43,19.19,17.22,cluster7
1316,IL,0.8,0.4,0.2,1,0,21.2,20.4,cluster3
1317,SC,31.28,0.5,0.91,5.6,0.09,23.39,16,cluster5
1318,IA,0.33,0.41,2.16,5.21,0.01,23.5,18.89,cluster7
1319,KY,2.78,0.12,0.13,1.01,0,22.44,18.82,cluster7
1320,CO,9.65,1.13,5.24,18.72,0.24,25.3,10.35,cluster10
1321,FL,17.08,0.64,2.54,19.52,0.1,20.1,22.1,cluster13
1322,KY,2.2,0.18,0.36,0.78,0.02,22.83,15.36,cluster7
1323,TX,0.95,2.43,0.5,60.22,0.14,31.19,14.39,cluster6
1324,NC,25.08,1.37,0.49,21,0.41,25.34,14.33,cluster12
1325,MS,45.63,0.2,0.36,0.99,0.01,23.84,17.53,cluster5
1326,ID,0.17,1.26,1.06,16.89,0.17,24.12,21.2,cluster13
1327,KY,0.19,0.22,0.13,0.75,0.01,23.11,14.05,cluster1
1328,OK,1.72,3.34,0.68,10.69,0.06,24.27,14.24,cluster1
1329,MA,2.06,0.71,1.18,2.3,0.06,16.55,26.32,cluster14
1330,NH,0.8,0.3,0.9,1.4,0,19.6,15.1,cluster7
1331,IL,1.8,0.2,0.8,7.6,0,23.5,16,cluster1
1332,FL,33.86,0.87,0.65,9.32,0.01,19.5,13.63,cluster5
1333,MI,20.65,0.58,0.95,3.1,0.02,24.22,14.65,cluster12
1334,MO,0.66,0.33,0.28,0.89,0.01,22.5,16.82,cluster7
1335,AK,0.47,39.55,0.47,2.81,0.44,25.22,10.16,cluster11
1336,AL,9.93,0.9,0.31,3.38,0.05,22.04,17.85,cluster7
1337,IA,1.3,0.2,1.9,6.4,0.1,27,8.1,cluster10
1338,WI,1.13,1.22,0.7,3.82,0.08,25.46,14.86,cluster1
1339,IA,0.9,0.74,0.34,5.73,0.29,22.54,19.69,cluster7
1340,OR,0.1,0.8,0.3,2.6,0,19.3,23.8,cluster3
1341,MO,7.18,0.32,1.27,2.09,0.04,21.69,14.44,cluster7
1342,VA,27.74,0.18,0.61,1.28,0,15.37,33.29,cluster14
1343,VA,8.64,0.47,0.82,2.65,0.04,21.38,15.26,cluster7
1344,MO,5.15,0.71,0.62,8.58,0.68,22.83,16.43,cluster7
1345,NE,0.32,1.62,0.77,6.97,0.05,22.01,22.52,cluster3
1346,WI,0.38,0.2,0.34,1.38,0.02,25.75,17.71,cluster1
1347,VT,0.43,0.31,0.57,1.14,0.01,20.38,15.37,cluster7
1348,TN,7.3,0.3,0.4,5.3,0,24.1,12.7,cluster1
1349,TN,2.95,0.23,0.33,2.81,0.1,21.15,22.04,cluster3
1350,OH,2.8,0.5,0.4,0.8,0,22.8,15.6,cluster7
1351,MN,0.3,0.3,0.2,0.9,0.1,21,20.6,cluster3
1352,MD,24.3,0.31,2.73,4.72,0.12,22.21,13.33,cluster12
1353,IN,1.31,0.21,1.67,1.66,0.03,25.03,14.75,cluster1
1354,TN,7.91,0.23,0.3,2.12,0.01,24.04,15,cluster1
1355,KY,9.48,0.25,0.37,1.19,0.02,20.15,22.15,cluster3
1356,TX,5.89,0.79,0.62,48.3,0,23.34,20.33,cluster2
1357,LA,18,0.5,0.2,1.7,0,23.2,15,cluster12
1358,NY,2.07,0.29,1.1,3.63,0.04,21.5,16.56,cluster7
1359,KY,0.16,0.3,0.05,0.68,0,24.2,17.17,cluster7
1360,TX,6.96,0.98,1.69,22.48,0.15,24.38,13.54,cluster13
1361,GA,37.85,0.08,0.71,2,0.01,24.17,15.98,cluster5
1362,MN,0.22,1.66,0.19,2.53,0.1,24.21,17.59,cluster7
1363,SD,0.16,2.09,0.73,0.83,0.05,22.8,21.76,cluster3
1364,KY,0.85,0.35,0.56,1.46,0.03,24.56,11.59,cluster1
1365,NE,0.15,0.81,0.3,4.42,0,20.79,22.67,cluster3
1366,MI,1.3,0.7,0.4,5.5,0,25.3,14.8,cluster1
1367,AK,0.24,71.66,0.28,1.36,0.1,27.21,12.48,cluster9
1368,NM,0.68,1.8,0.56,48.56,0.1,21.08,22.73,cluster2
1369,ND,0.19,0.83,0.73,1.94,0,21.79,18.89,cluster7
1370,ID,0.2,4,0.4,29.2,0.1,30.6,11.4,cluster2
1371,NE,0.9,0.2,0.4,2.1,0.1,24.7,14,cluster1
1372,TX,5.36,0.72,0.36,21.82,0,24.43,19.8,cluster13
1373,TX,6.59,0.94,0.24,34.33,0.06,24.54,22.68,cluster13
1374,IA,2.18,0.3,0.41,1.41,0.01,21.37,17.98,cluster7
1375,MN,0.6,0.2,0.6,0.8,0,22.5,17.4,cluster7
1376,NC,39.2,0.3,0.8,9.2,0,25,14.1,cluster5
1377,MN,1.1,5.6,0.5,1.5,0,23.7,15.3,cluster1
1378,GA,42.68,0.33,0.44,1.43,0.03,24.9,15.42,cluster5
1379,KY,13.8,0.4,3.1,6.6,0.1,21.3,10.8,cluster4
1380,IN,0.8,0.2,0.6,1,0,24.6,12.4,cluster1
1381,IA,2.39,0.49,6.01,23.61,0.65,25.03,14.73,cluster13
1382,ND,0.26,1.3,0.23,1.2,0.03,18.18,27.21,cluster14
1383,GA,28.89,0.62,0.43,10.42,0.15,21.58,11.78,cluster12
1384,MS,21.59,0.44,2.17,4.82,0.08,24.9,13.4,cluster12
1385,TN,2.4,0.6,1.4,1.5,0,22.6,16,cluster7
1386,NM,0.5,2.3,0,45.7,0,17.2,24.9,cluster13
1387,IL,0.5,0.2,0.4,1.5,0,24.7,15.6,cluster1
1388,AR,1.3,0.6,0.2,1.8,0,23.3,18.1,cluster7
1389,TX,11.4,0.6,0.3,30.5,0.1,22.3,17.3,cluster13
1390,NY,3.1,0.3,1,2.7,0,19.7,13.1,cluster4
1391,WI,0.5,0.43,2.11,3.57,0.05,26.05,12.46,cluster1
1392,TX,7.8,0.8,0.4,14.6,0.1,25.7,14.8,cluster13
1393,IN,0.66,0.24,0.89,5.91,0.13,24.52,14.91,cluster1
1394,SD,0.06,0.41,0.53,0.71,0.06,31.83,13.8,cluster10
1395,KS,0.5,0.8,0.1,2.7,0,21.9,19.1,cluster7
1396,WI,0.92,0.34,1.15,2.65,0.03,23.61,14.53,cluster1
1397,PA,0.39,0.15,0.32,1.4,0.04,20.2,18.86,cluster7
1398,RI,3.48,0.47,1.71,4.54,0.12,19.11,17.49,cluster7
1399,GA,47.46,0.49,0.63,4.56,0.07,24.44,13.62,cluster5
1400,MS,52,0.1,0.1,1,0,25.6,15,cluster0
1401,CO,0.79,0.55,0.99,14.34,0.09,17.21,8.52,cluster4
1402,SC,60.92,0.36,0.45,1.66,0.04,21.21,17,cluster0
1403,IA,3.9,0.34,0.64,3.88,0.03,21.72,17.06,cluster7
1404,CO,2.56,1.33,0.65,34.43,0.27,28.11,14.41,cluster2
1405,OH,3.52,0.3,0.41,3.49,0.03,23.22,15.92,cluster1
1406,KY,0.93,0.29,0.26,3.5,0.05,25.01,15.8,cluster1
1407,TX,3.45,1.11,0.25,28.36,0,20.87,19.36,cluster13
1408,KS,8.21,1.44,1.23,11.06,0.08,24.64,14.6,cluster1
1409,TX,3.37,0.63,0.33,26.18,0.03,20.11,23.39,cluster13
1410,NY,6.95,0.56,3.64,17.07,0.08,23.07,14.46,cluster13
1411,WA,0.62,1.88,1.57,8.01,0.3,23.41,16.88,cluster1
