@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute African_American numeric
@attribute American_Alaskan_Native numeric
@attribute asian numeric
@attribute hispanic numeric
@attribute pacific_highlander numeric
@attribute 18_younger numeric
@attribute senior_citizen numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14}

@data
197,NY,2.15,0.28,2.05,12,0.05,22.33,13.72,cluster4
198,AL,1.93,1.2,0.61,12.5,0.25,25.03,14.98,cluster1
199,GA,53.47,0.41,1.77,4.32,0.22,24.68,11.58,cluster0
200,NE,0.1,0.3,0.1,0.8,0,25.4,20.4,cluster7
201,MO,7.53,0.21,0.25,1.85,0.02,21.49,16.2,cluster7
202,MI,0.22,1.03,0.24,1.79,0.04,19.72,23.89,cluster3
203,ND,0.29,0.7,0.9,3.03,0,20.57,20.77,cluster3
204,GA,32.4,0.1,0.5,1.9,0,23.6,13.8,cluster5
205,MD,14.8,0.2,0.9,2.8,0,18.8,23,cluster14
206,TN,1.3,0.38,0.65,7.06,0.21,19.98,22.42,cluster3
207,TX,6.73,1.18,0.44,10.03,0.05,21.58,17.91,cluster7
208,IN,0.46,0.39,0.35,1.06,0,22.84,15.19,cluster7
209,MN,0.43,7.61,0.45,1.47,0.03,24.33,18.27,cluster7
210,IN,2.27,0.17,0.34,1.44,0.01,21.59,17.06,cluster7
211,TX,9.55,0.76,0.38,9.06,0.03,21.15,22.74,cluster3
212,AR,41.8,0.62,0.17,2.6,0.04,23.34,18.4,cluster5
213,IN,0.45,0.44,0.47,1.86,0.05,22.75,15.34,cluster7
214,WI,0.38,11.09,0.37,1.93,0.02,22.74,16.89,cluster7
215,UT,0.1,1.2,0.2,5.8,0.1,27.8,21,cluster1
216,MT,0.67,4.26,0.7,4.75,0.09,23.51,14.34,cluster1
217,TX,1.4,0.5,0.5,20.6,0,25.2,16.5,cluster13
218,MT,0.36,0.49,0.36,2.6,0.01,16.59,23.34,cluster14
219,AR,0.22,1.28,0.33,1.75,0.01,20.4,21.37,cluster3
220,AR,0.5,1,0.5,15.5,0.1,22.4,17.2,cluster13
221,NC,1.1,0.7,0.2,5.9,0,20.2,19.9,cluster3
222,WI,0.5,0.1,0.5,0.9,0,24,13.7,cluster1
223,MN,4.6,0.5,4.4,4.7,0.1,25.9,9,cluster10
224,NV,0.74,6.05,1.02,23.39,0.2,28.46,9,cluster10
225,KS,0.1,0.3,0.3,0.8,0,20,24.7,cluster3
226,MO,0.38,1.16,0.19,1.78,0.02,24.12,16.98,cluster7
227,WY,2.33,1.25,1.2,13.32,0.18,24,12.93,cluster1
228,CO,0.31,2.28,0.63,8.49,0.03,18.32,9.98,cluster4
229,MO,4.3,0.55,1.7,3.36,0.28,22.11,11.16,cluster4
230,MN,0.6,0.2,0.9,5.1,0.1,25.6,14.5,cluster1
231,OH,1.1,0.3,0.5,0.6,0,21,17.2,cluster7
232,TX,2.9,0.6,4.2,44.9,0.1,27.4,14.5,cluster2
233,CA,0.93,1.71,4.75,32.4,0.18,20.58,12.16,cluster13
234,AR,37.1,0.3,0.4,2,0,23.2,15.9,cluster5
235,UT,0.45,1.45,0.74,12.38,0.18,26.73,13.58,cluster1
236,MS,45.52,1.19,0.22,0.99,0.03,24.4,17.29,cluster5
237,OH,18.78,0.38,1.59,6.21,0.04,23.71,13.38,cluster12
238,NE,0.16,0.27,0.25,2.19,0,20.3,26.42,cluster14
239,GA,11.6,0.3,0.7,1.6,0.4,23.1,17.9,cluster7
240,KY,7.4,0.2,0.3,2,0,24.8,15,cluster1
241,WA,0.51,1.51,0.69,3.07,0.21,21.32,19.36,cluster7
242,AL,28.07,0.38,0.41,2.49,0.01,22.56,18.12,cluster5
243,TX,4.6,0.92,0.6,34.33,0.03,25.7,16.81,cluster2
244,VA,1.7,0.1,0.4,1.1,0,19.7,17.3,cluster7
245,ID,0.31,0.52,0.52,3.25,0.05,28.97,16.7,cluster1
246,OH,1.3,0.3,0.4,0.6,0,23.4,14.7,cluster1
247,WV,1.5,0.2,0.7,1,0,21.6,17.2,cluster7
248,KY,2.29,0.16,0.36,0.83,0.02,22.77,14.57,cluster1
249,KS,0.47,0.71,0.43,2.65,0.02,21.93,20.76,cluster3
250,MI,0.35,1.05,0.23,1.83,0.04,20.14,22.65,cluster3
251,NC,0.9,0.5,0.2,4.2,0,20.3,19.8,cluster3
252,CO,7.22,3.07,1.09,30.46,0.08,16.38,14.5,cluster13
253,GA,3.8,0.6,0.9,14.6,0.4,27.5,11.5,cluster10
254,MS,30.71,0.25,0.17,1.02,0.01,23.67,17.67,cluster5
255,WI,1.3,0.5,3.5,1.2,0,20.9,12.9,cluster4
256,VA,21.7,0.2,0.2,0.9,0,22,16.2,cluster12
257,NC,16,0.3,0.8,2.1,0,26,12.2,cluster12
258,KY,11,0.3,0.7,1.6,0.1,22.5,16.7,cluster7
259,OH,0.41,0.14,0.28,1.14,0.03,24.62,14.78,cluster1
260,OH,2.71,0.29,0.17,0.39,0.03,19.02,21.24,cluster3
261,MO,0.64,0.41,0.44,1.81,0.03,23.92,20.82,cluster3
262,MT,0.37,2.05,0.52,3.73,0.1,20.93,16.64,cluster7
263,GA,34.75,0.29,0.67,12.64,0.04,18.66,14.76,cluster5
264,WI,0.55,16.79,0.35,1.69,0,20.6,21.29,cluster3
265,TX,0.25,1.4,0.47,49.45,0.04,32.04,10.15,cluster2
266,NC,51.95,5.38,0.28,3.37,0.02,20.1,19.46,cluster0
267,GA,14.73,0.39,1.77,5.16,0.12,29.04,9.23,cluster10
268,IA,0.43,0.24,0.37,1.38,0.01,26.9,14.85,cluster1
269,OR,0.48,2.18,0.97,7.11,0.11,17.94,21.95,cluster3
270,OK,9.8,3.5,0.8,20.1,0.1,26.3,18.4,cluster13
271,WV,7.29,0.22,1.1,1.06,0.02,20.47,16.83,cluster7
272,IL,3.95,0.36,0.58,1.46,0.02,22.99,17.71,cluster7
273,ID,0.08,1.52,0.66,28.12,0.2,29.1,15.76,cluster13
274,OR,0.38,4.89,0.84,15.58,0.65,23.03,17.73,cluster13
275,IA,0.3,0.3,0.8,3.2,0,22.2,18.6,cluster7
276,KY,1.53,0.25,0.44,1.53,0.08,24.93,11.53,cluster1
277,GA,41.05,0.31,1.49,2.15,0.05,20.41,12.61,cluster5
278,WI,3.07,1.1,0.43,3.79,0.03,16.23,23.73,cluster14
279,MN,1.3,0.33,2.38,2.54,0.01,18.5,14.09,cluster4
280,NY,3.3,0.3,0.6,3.3,0,23.9,14,cluster1
281,KS,1,0.3,0.1,5.1,0,23.7,17.8,cluster7
282,NJ,22,1.1,1.3,24.8,0.1,24.9,12.6,cluster12
283,OR,0.38,1.15,1.03,7.71,0.16,22.67,15.61,cluster1
284,TN,2.16,0.43,0.48,1.9,0.02,19.9,21.15,cluster3
285,AR,0.8,0.7,0.2,1.1,0,20.4,22.6,cluster3
286,TN,7.91,0.31,1.23,2.07,0.03,19.71,15.54,cluster4
287,NC,36.1,0.4,0.5,3.1,0,18.2,15.6,cluster5
288,NC,2.5,10.6,0.9,2.8,0,18.8,15,cluster4
289,MI,0.3,0.4,0.6,2,0,20.6,21.4,cluster3
290,CA,9.7,0.8,14.1,23.2,0.5,24.9,12.2,cluster8
291,KS,0.12,0.51,0.2,3.3,0.08,22.62,22.85,cluster3
292,IA,0.2,0.2,0.3,2.5,0,22.7,21.7,cluster3
293,NM,2.5,1.6,0.8,43.4,0.2,27.1,13.8,cluster2
294,WY,0.42,1.18,0.57,3.56,0,22.01,18.87,cluster7
295,IA,0.36,0.25,0.38,1.45,0.04,22.19,21.92,cluster3
296,MN,1.9,0.6,1.8,7.8,0.1,23.6,12.4,cluster1
297,LA,43.7,0.2,0.3,1,0,21.4,12.7,cluster5
298,NM,0.7,7.5,0.6,55,0.2,20.9,16.2,cluster2
299,IA,0.25,0.29,0.29,6.28,0.08,23.38,21.21,cluster3
300,OK,0.35,22.6,1.19,3.32,0.08,22.17,21.28,cluster11
301,IA,4.4,0.3,0.9,2.6,0.1,23.1,17.4,cluster7
302,IA,0.74,0.32,0.49,2.08,0.02,23.59,18.41,cluster7
303,LA,60.9,0.2,0.2,2.8,0.7,27.3,11.9,cluster0
304,VA,26.9,0.2,1.3,3.1,0.1,21.1,17.3,cluster12
305,TX,3.71,0.85,1.81,61.02,0.11,25.68,12.27,cluster2
306,OK,1.6,1.4,1.2,44.3,0.1,30.5,9.2,cluster2
307,TN,1.42,0.37,0.38,2.48,0.05,24.22,12.02,cluster1
308,KS,0.31,0.29,0.18,1.46,0.1,19.01,26.76,cluster14
309,VA,18.9,0.4,1.3,3.4,0.1,27,9.4,cluster12
310,PA,2.72,0.46,0.31,1.56,0,16.1,25.68,cluster14
311,FL,5.71,0.32,2.25,5.52,0.09,22.67,16.09,cluster7
312,TX,7.44,1.69,0.89,33.23,0.15,25.94,11.94,cluster2
313,MN,0.72,0.46,0.63,2.29,0.01,25.79,18.79,cluster1
314,UT,0.6,1.5,0.6,11.9,0,27.1,13.6,cluster10
315,MS,53.17,0.42,0.43,6.79,0.01,22.01,15.78,cluster0
316,UT,0.2,0.92,0.4,6.86,0.2,27.76,23.69,cluster3
317,LA,11.85,1.09,0.21,2.37,0.03,23.04,15.39,cluster12
318,TX,3.2,1.3,0.2,26,0,25.7,19.2,cluster13
319,KY,3.96,0.31,0.5,2.66,0.15,23.94,15.49,cluster1
320,TX,2.8,0.8,1.6,15.9,0,25.1,9.9,cluster10
321,TN,0.9,0.3,0.1,1.1,0,22.5,17.3,cluster7
